Exams,link,CFU,Language,Period,ordinamento,table,SSD,Pillar,Subpillar,avaiability
Audio pattern recognition,https://www.unimi.it/it/ugov/of/af20260000fba-10,6,ENG,1,F94|FBA,B|2,INF/01,INTERACTION AND MULTIMEDIA,Audio and Music,enabled
Autonomous robots and agents,https://www.unimi.it/it/ugov/of/af202600000fba-9,6,ENG,3,FBA,2,INF/01,"ARTIFICIAL INTELLIGENCE, DATA ANALYTICS AND BIG DATA",Artificial Intelligence,enabled
Bioinformatics,https://www.unimi.it/it/ugov/of/af202600000fba-8,6,ENG,1,FBA,2,INF/01,"COMPUTING SYSTEMS IN INDUSTRY, BUSINESS AND MEDICINE",Bio-medical computing,enabled
Biomedical signal processing,https://www.unimi.it/it/ugov/of/af20260000fba-71,6,ENG,1,F94|FBA,C|1,ING-INF/06,"COMPUTING SYSTEMS IN INDUSTRY, BUSINESS AND MEDICINE",Bio-medical computing,enabled
Business information systems,https://www.unimi.it/it/ugov/of/af202600000fba-7,6,ENG,1,F94|FBA,B|2,INF/01,"COMPUTING SYSTEMS IN INDUSTRY, BUSINESS AND MEDICINE",Industry and Business,enabled
Calcolo numerico,https://www.unimi.it/it/ugov/of/af20260000fba-70,6,ITA,3,F94|FBA,C|1,MAT/08,"ALGORITHMS, SOFTWARE AND THEORY",Theory,enabled
Cittadinanza digitale e tecnocivismo,https://www.unimi.it/it/ugov/of/af202600000fba-6,6,ITA,1,F94|FBA,C|2,INF/01,"ALGORITHMS, SOFTWARE AND THEORY",Computational Education and Ethics,enabled
Cloud computing technologies,https://www.unimi.it/it/ugov/of/af202600000fba-5,6,ENG,2,F94|FBA,B|2,INF/01,"COMPUTING SYSTEMS IN INDUSTRY, BUSINESS AND MEDICINE",Distributed and Mobile Computing,enabled
Complementi di ricerca operativa,https://www.unimi.it/it/ugov/of/af20260000f94-28,6,ITA,2,F94,C,MAT/09,"ALGORITHMS, SOFTWARE AND THEORY",Theory,enabled
Decision methods and models,https://www.unimi.it/it/ugov/of/af20260000fba-69,6,ENG,1,F94|FBA,C|1,MAT/09,"ARTIFICIAL INTELLIGENCE, DATA ANALYTICS AND BIG DATA",Data Analytics,enabled
Didattica dell'informatica,https://www.unimi.it/it/ugov/of/af202600000fba-4,6,ITA,3,F94|FBA,C|2,INF/01,"ALGORITHMS, SOFTWARE AND THEORY",Computational Education and Ethics,enabled
Distributed and pervasive systems,https://www.unimi.it/it/ugov/of/af202600000fba-3,6,ENG,3,F94|FBA,A|B|2,INF/01,"COMPUTING SYSTEMS IN INDUSTRY, BUSINESS AND MEDICINE",Distributed and Mobile Computing,enabled
Gamification e serious games,https://www.unimi.it/it/ugov/of/af202600000fba-2,6,ITA,2,FBA,2,INF/01,INTERACTION AND MULTIMEDIA,Videogames,enabled
Geometria computazionale,https://www.unimi.it/it/ugov/of/af20260000fba-68,6,ITA,2,F94|FBA,C|1,MAT/03,"ALGORITHMS, SOFTWARE AND THEORY",Theory,enabled
Geospatial data management,https://www.unimi.it/it/ugov/of/af202600000fba-1,6,ENG,3,FBA,2,ING-INF/05,"ARTIFICIAL INTELLIGENCE, DATA ANALYTICS AND BIG DATA",Data Management and Protection,From 2026/2027
Gestione della sicurezza nelle imprese,https://www.unimi.it/it/ugov/of/af20260000fba-67,6,ITA,2,FBA,1,SECS-P/08,"COMPUTING SYSTEMS IN INDUSTRY, BUSINESS AND MEDICINE",Security,enabled
Gpu computing,https://www.unimi.it/it/ugov/of/af20260000fba-40,6,ITA,2,F94|FBA,C|2,INF/01,"ALGORITHMS, SOFTWARE AND THEORY",Software,enabled
